,actual,prediction
328,-4.9224057,-4.72599
329,-4.921958,-4.7714133
330,-4.8898664,-4.6798024
331,-5.0014486,-4.758662
332,-4.935894,-4.6319137
333,-4.9028716,-4.6092296
334,-5.183495,-4.673199
335,-5.219738,-4.7257705
336,-5.2469373,-4.7585187
337,-4.846627,-4.302218
338,-4.8794594,-4.762154
339,-4.8836703,-4.7688384
340,-4.417113,-4.116098
341,-4.1454525,-4.0631714
342,-4.154836,-4.7711234
343,-4.085254,-4.28453
344,-4.0635185,-4.5075245
345,-3.9598296,-4.095134
346,-3.8954546,-4.2484937
347,-3.8886192,-4.649309
348,-4.0115104,-4.6943145
349,-4.2129226,-4.6842465
350,-4.1799965,-4.4770246
351,-4.2614927,-4.693256
352,-4.2955647,-4.7696605
353,-4.694723,-4.7728376
354,-5.096315,-4.6824746
355,-5.1688147,-4.755456
356,-5.1168704,-4.6198416
357,-5.1374664,-4.7147045
358,-5.3080792,-4.667254
359,-5.3550076,-4.7393823
360,-5.086273,-4.4589024
361,-4.792054,-4.3146024
362,-4.690153,-4.396743
363,-4.675975,-4.704491
364,-4.6582527,-4.556976
365,-4.503679,-4.297607
366,-4.118266,-3.9977067
367,-4.055069,-4.2907043
368,-4.0055933,-4.257899
369,-4.0517287,-4.7440796
370,-4.054395,-4.420686
371,-4.0452075,-4.5873027
372,-4.061937,-4.7658567
373,-4.124909,-4.7671003
374,-4.48895,-4.52612
375,-4.658757,-4.75312
376,-5.0024815,-4.7176533
377,-5.017386,-4.7719445
378,-5.274225,-4.7594957
379,-5.2241936,-4.536405
380,-5.113383,-4.6147795
381,-5.110845,-4.7632327
382,-4.7444525,-4.245409
383,-4.74988,-4.7702804
384,-4.7420945,-4.6929784
385,-4.7350926,-4.749423
386,-4.4932947,-4.2540274
387,-4.5338626,-4.7340274
388,-4.348462,-4.222272
389,-4.330976,-4.63833
390,-4.1436462,-4.027868
391,-4.1439543,-4.773536
392,-4.144962,-4.7036157
393,-4.1471653,-4.772605
394,-4.2548184,-4.769029
395,-4.1393223,-4.237358
396,-4.2661476,-4.7220635
397,-4.233109,-4.3966937
398,-4.71384,-4.769606
399,-4.672042,-4.6261926
400,-4.6914606,-4.773603
401,-4.6892505,-4.7647758
402,-4.6510725,-4.628182
403,-5.073791,-4.72759
404,-5.079545,-4.7314763
405,-5.428085,-4.763925
406,-5.3924055,-4.739648
407,-5.3186493,-4.559453
408,-5.316304,-4.771233
409,-5.3176622,-4.76615
