,actual,prediction
360,-5.086273,-4.4472923
361,-4.792054,-4.3300776
362,-4.690153,-4.3954525
363,-4.675975,-4.706545
364,-4.6582527,-4.556773
365,-4.503679,-4.315708
366,-4.118266,-4.0298924
367,-4.055069,-4.309872
368,-4.0055933,-4.280008
369,-4.0517287,-4.7473593
370,-4.054395,-4.414195
371,-4.0452075,-4.588126
372,-4.061937,-4.7698107
373,-4.124909,-4.7710924
374,-4.48895,-4.521739
375,-4.658757,-4.7566795
376,-5.0024815,-4.7201138
377,-5.017386,-4.7760863
378,-5.274225,-4.7632527
379,-5.2241936,-4.5334167
380,-5.113383,-4.6140547
381,-5.110845,-4.767105
382,-4.7444525,-4.2675586
383,-4.74988,-4.774371
384,-4.7420945,-4.6946754
385,-4.7350926,-4.7528687
386,-4.4932947,-4.2761517
387,-4.5338626,-4.7369957
388,-4.348462,-4.2453384
389,-4.330976,-4.6383343
390,-4.1436462,-4.0627866
391,-4.1439543,-4.777728
392,-4.144962,-4.7056427
393,-4.1471653,-4.776768
394,-4.2548184,-4.773082
395,-4.1393223,-4.2594986
396,-4.2661476,-4.724662
397,-4.233109,-4.395417
398,-4.71384,-4.7736764
399,-4.672042,-4.6258206
400,-4.6914606,-4.7777967
401,-4.6892505,-4.768697
402,-4.6510725,-4.6278715
403,-5.073791,-4.730359
404,-5.079545,-4.7343655
405,-5.428085,-4.767819
406,-5.3924055,-4.74279
407,-5.3186493,-4.5595856
408,-5.316304,-4.7753534
409,-5.3176622,-4.770113
410,-5.4771876,-4.7701225
411,-5.159285,-4.4226
412,-5.0270348,-4.52608
413,-5.0323844,-4.77773
414,-5.051788,-4.77786
415,-5.151256,-4.714424
416,-5.1461573,-4.767908
417,-5.149905,-4.775593
418,-5.123707,-4.7309413
419,-5.3061447,-4.6286917
420,-5.5663886,-4.7341614
421,-5.565364,-4.77708
422,-5.0862164,-4.356101
423,-5.1069207,-4.747983
424,-5.0628753,-4.6948137
425,-5.008663,-4.6763225
426,-5.033483,-4.777728
427,-5.1114464,-4.761422
428,-5.075201,-4.6750236
429,-5.072627,-4.7727156
430,-5.492823,-4.751111
431,-5.3950944,-4.6687903
432,-5.393265,-4.6931787
433,-5.4932337,-4.75745
434,-5.4877286,-4.7736692
435,-4.888002,-4.300371
436,-4.9267287,-4.7666807
437,-4.6648164,-4.3125463
438,-4.6616793,-4.7390165
439,-4.6649523,-4.681407
440,-4.577435,-4.384837
441,-4.57815,-4.7607183
442,-4.501545,-4.423452
443,-4.6700487,-4.6643453
444,-4.669559,-4.764817
445,-4.740646,-4.345042
446,-4.752575,-4.7779465
447,-4.78123,-4.771215
448,-3.704529,-3.7316325
449,-3.7044642,-4.759013
450,-3.7075486,-4.487657
451,-3.699893,-4.475992
452,-3.6655622,-4.2896824
453,-3.6801662,-4.649561
454,-3.6522872,-4.3124323
455,-3.6523154,-4.772034
456,-4.530355,-4.777254
457,-4.5334992,-4.7747765
458,-4.5748715,-4.6743937
459,-4.0571146,-3.9468882
460,-4.132079,-4.726092
461,-4.133494,-4.6653156
462,-4.209222,-4.7699604
463,-4.1992197,-4.6754513
464,-4.176195,-4.553097
465,-4.17561,-4.768799
466,-4.173099,-4.6486535
467,-4.9101653,-4.345459
468,-4.92234,-4.7543917
469,-4.9606705,-4.7500467
470,-4.9366865,-4.7177057
471,-4.93616,-4.6742754
472,-4.8015304,-4.3410244
473,-4.7071757,-4.4777856
474,-4.6355085,-4.4105186
475,-4.733021,-4.607439
476,-4.6900907,-4.6049156
477,-4.6968575,-4.7746067
478,-4.7138624,-4.777976
479,-4.7434387,-4.7743406
